name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vancouver,2020-11-10,5.5,2.6,3.9,5.5,1.7,3.7,2.9,93,1.068,100,41.67,rain,0,0,,6.4,36.9,1015.8,52.7,23,24.1,2,1,,2020-11-10T07:15:58,2020-11-10T16:36:19,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-11,5.4,1.4,3.6,5.2,0.8,3,1.7,87.6,0,0,0,,0,0,,7,69.8,1021.6,59.1,29.2,23.3,1.8,1,,2020-11-11T07:17:34,2020-11-11T16:34:58,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-12,6.2,4.2,5.1,6,0.9,3.4,2.9,85.9,20.552,100,50,rain,0,0,37.1,22.2,84.6,1012.1,97.1,19.8,13,1,1,,2020-11-12T07:19:10,2020-11-12T16:33:39,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,71211099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-13,8.9,4.7,6.5,8.3,1.5,4.6,3.8,83.8,29.05,100,58.33,rain,0,0,45.6,24.1,327,994.4,75.3,22.6,33.5,2.9,2,,2020-11-13T07:20:45,2020-11-13T16:32:22,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71211099999,71775099999,71784099999,D3147,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-14,7.6,4.3,6,7.3,2.1,4.5,3.9,87.1,3.806,100,37.5,rain,0,0,33.6,19,89.9,1010.9,79.7,25.2,30.3,2.7,2,,2020-11-14T07:22:20,2020-11-14T16:31:07,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-15,10.4,5.8,7.9,10.4,2.5,6.8,4.9,82,1.255,100,29.17,rain,0,0,51.8,22.9,234.5,1011.6,57,26.9,56.9,4.8,3,,2020-11-15T07:23:55,2020-11-15T16:29:54,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-16,8.3,6.4,7.1,7.7,4.8,6.5,5.9,92.6,16.387,100,66.67,rain,0,0,68.4,8.3,58.6,1013,95.3,20.8,10.6,0.9,1,,2020-11-16T07:25:29,2020-11-16T16:28:44,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-17,13.3,7.5,9.9,13.3,6.6,9.5,8.2,89.2,5.169,100,41.67,rain,0,0,50.2,24.9,128.7,994.2,80.7,25.8,13.6,1.2,1,,2020-11-17T07:27:02,2020-11-17T16:27:36,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71211099999,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-18,8.6,6.5,7.4,8.6,3.7,6.4,6.5,93.9,18.92,100,79.17,rain,0,0,,17,82.3,1002.7,88,18.6,9.1,0.7,1,,2020-11-18T07:28:35,2020-11-18T16:26:30,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CWWA,CWEL,71892099999,CWMM,71207099999,CYVR,71608099999,71784099999,CWSK,CWEZ,71042099999,71201099999,F1856"
vancouver,2020-11-19,9.1,4.6,6.8,9.1,3,6.2,5.6,93,8.388,100,45.83,rain,0,0,,9.1,69,1020.7,72.2,27.8,32.7,2.8,2,,2020-11-19T07:30:07,2020-11-19T16:25:27,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-20,8.9,6.2,7.3,8.5,4.8,6.5,6.6,95.5,3.633,100,66.67,rain,0,0,,13.1,107.9,1028.3,77.4,26,16.1,1.3,1,,2020-11-20T07:31:38,2020-11-20T16:24:26,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-21,9.7,3.8,6.2,9.5,3.8,6.1,4.7,90.6,0,0,0,,0,0,,7.2,59.3,1029.5,82.6,29.5,45.8,4,3,,2020-11-21T07:33:08,2020-11-21T16:23:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-22,7.6,3.8,5.6,7.3,2.7,5.1,4.3,91,1.091,100,37.5,rain,0,0,,9.8,72.5,1015.6,96.7,28.1,15.4,1.4,1,,2020-11-22T07:34:38,2020-11-22T16:22:32,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-23,7,5,6.1,7,3.6,5.2,5.1,93.5,8.863,100,54.17,rain,0,0,,9.4,78.9,1015.8,80.3,20.4,14.7,1.2,1,,2020-11-23T07:36:06,2020-11-23T16:21:39,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-24,8.5,4.6,6.9,8.5,3.8,5.4,6.1,94.5,17.222,100,70.83,rain,0,0,40.7,18.9,115.9,1012.5,83.6,15.7,5.9,0.5,0,,2020-11-24T07:37:33,2020-11-24T16:20:48,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-25,7.6,4.2,6,7.6,4,5.6,4.9,92.9,1.949,100,20.83,rain,0,0,,7.3,47.7,1018.6,70.5,29.2,30.1,2.6,2,,2020-11-25T07:38:59,2020-11-25T16:20:00,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-26,7.5,4,6.2,7.2,3.8,5.6,5.4,94.3,4.92,100,54.17,rain,0,0,,11.2,91.5,1027.9,98.2,24.8,7.8,0.6,1,,2020-11-26T07:40:24,2020-11-26T16:19:15,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,CWWA,71211099999,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-27,9,7.8,8.3,8.8,5.5,7.1,6.6,88.9,1.697,100,16.67,rain,0,0,37.1,14.6,122.2,1021.4,94.7,30.1,12,1,1,,2020-11-27T07:41:48,2020-11-27T16:18:32,0.42,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-28,9.4,4.3,6.8,9.4,4.1,6.3,5.7,92.8,0.012,100,4.17,rain,0,0,,11,343,1026.2,47.7,29.8,37.8,3.3,2,,2020-11-28T07:43:10,2020-11-28T16:17:53,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-29,8.4,2.1,5.5,8.4,1.5,5.3,3.9,89.7,0.119,100,8.33,rain,0,0,,10.7,63.1,1021.8,75.1,27,26.3,2.3,1,,2020-11-29T07:44:30,2020-11-29T16:17:16,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-11-30,9.9,4.7,7.8,9,2.7,5.9,4.5,80,6.697,100,41.67,rain,0,0,51.3,31,281.8,1016.9,56.7,24.4,56.5,4.9,3,,2020-11-30T07:45:50,2020-11-30T16:16:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-01,7.8,2.5,4.8,7.8,1.8,4.4,2.4,85.3,0,0,0,,0,0,,10.1,358.3,1035.2,21.8,27.1,56.7,4.9,3,,2020-12-01T07:47:07,2020-12-01T16:16:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71211099999,71784099999,E6810,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-02,8.1,1.7,4.4,8.1,1.7,4.4,3.3,92.7,0,0,0,,0,0,,6.1,16.7,1025.1,20.2,29.2,56.3,4.8,3,,2020-12-02T07:48:23,2020-12-02T16:15:43,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-03,8.6,2.5,5.9,8.6,1.3,5.8,4.6,91.7,0,0,0,,0,0,,7,78.7,1026.2,80.2,27.6,23.8,2.2,1,,2020-12-03T07:49:37,2020-12-03T16:15:18,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-04,10.4,4.7,7.3,10.4,4.2,7.3,5,85.6,0,0,0,,0,0,,6,27.2,1030.2,33.7,29.7,54.1,4.7,3,,2020-12-04T07:50:49,2020-12-04T16:14:55,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,CWWA,71784099999,E6810,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-05,10.8,3,6.8,10.8,1.3,6.4,4,83.3,0,0,0,,0,0,,8,53.7,1018.9,35.8,31.3,54.8,4.7,3,,2020-12-05T07:52:00,2020-12-05T16:14:36,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-06,10.2,8.1,9.1,10.2,6.4,8.3,7.2,88.6,1.736,100,33.33,rain,0,0,,14,98,1027.7,82.2,25.1,8.2,0.6,0,,2020-12-06T07:53:08,2020-12-06T16:14:20,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-07,10.1,8.4,9.1,10.1,6.3,7.8,8,93.2,21.902,100,79.17,rain,0,0,33.5,17.8,79.8,1024.3,98.6,15.1,8.6,0.6,1,,2020-12-07T07:54:14,2020-12-07T16:14:07,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999"
vancouver,2020-12-08,10.2,7.4,8.9,10.2,6.4,8.3,8.7,98.5,25.098,100,79.17,rain,0,0,31.9,19,95.6,1020.1,95.1,16.8,4.9,0.4,0,,2020-12-08T07:55:18,2020-12-08T16:13:57,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-09,8.6,6.1,7.2,8.6,5,7,6.7,96.6,0.458,100,16.67,rain,0,0,,7.6,303,1024.3,66.2,28,31.2,2.7,2,,2020-12-09T07:56:20,2020-12-09T16:13:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"CWWA,71211099999,71772099999,CWEL,71892099999,CWMM,71608099999,71784099999,CWSK,CWEZ,71042099999,71201099999,F1856"
vancouver,2020-12-10,7,4.9,6.2,7,3.2,5.7,4.8,90.8,0.013,100,4.17,rain,0,0,,10.9,80.8,1017.6,98.3,30,17.3,1.5,1,,2020-12-10T07:57:19,2020-12-10T16:13:46,0.87,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-11,5.9,1.5,4.5,5.6,1.5,3.6,3.8,94.8,13.272,100,66.67,rain,0,0,,11.9,73,1018.2,67.4,27,12.4,0.9,1,,2020-12-11T07:58:17,2020-12-11T16:13:46,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71211099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-12,6.8,1.3,3.1,5.9,-0.7,2.8,2.1,93.3,0.01,100,4.17,rain,0,0,,9,67,1021.3,40.9,29.2,50,4.4,3,,2020-12-12T07:59:11,2020-12-12T16:13:48,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-13,5.4,3.4,4.6,5.4,1.6,3.6,3.6,93.5,14.135,100,66.67,rain,0,0,,12.3,73.6,1014.3,87.6,18.3,5.1,0.4,0,,2020-12-13T08:00:04,2020-12-13T16:13:54,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-14,7.1,5.2,6.2,7.1,3.9,5.5,5.8,97.3,1.634,100,62.5,rain,0,0,,12.7,89.6,1021.5,84.4,16.5,12.9,1.2,1,,2020-12-14T08:00:53,2020-12-14T16:14:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-15,8,5.5,6.9,8,2.4,5.4,6,93.9,12.963,100,58.33,rain,0,0,38.9,16.9,118,1014.3,81,24.3,21,1.9,2,,2020-12-15T08:01:41,2020-12-15T16:14:14,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-16,9.1,6.7,7.7,8.7,3.5,6.3,6.7,93.3,10.842,100,54.17,rain,0,0,33.5,17.9,91.4,1008.3,92.1,24.3,5.9,0.5,0,,2020-12-16T08:02:25,2020-12-16T16:14:29,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-17,8.2,5.8,6.8,7.8,4.6,6.1,5.7,92.4,9.209,100,62.5,rain,0,0,,13.3,332.2,1009.7,79.2,27.4,25.5,2.2,2,,2020-12-17T08:03:07,2020-12-17T16:14:47,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-18,8.9,5.7,7.1,8.8,3.4,5.4,6.4,95.6,36.204,100,100,rain,0,0,48.2,23.2,112.8,1015.3,95.5,13.8,4.4,0.4,0,,2020-12-18T08:03:46,2020-12-18T16:15:08,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71784099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-19,8.4,5,6.9,7.6,3.6,5.4,5.9,93.3,26.966,100,50,rain,0,0,50,25.1,83.4,1016,94.7,20.5,5.9,0.4,0,,2020-12-19T08:04:22,2020-12-19T16:15:32,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-20,9.3,5.5,7.2,8.8,4.1,6.5,6.5,95.1,0.374,100,8.33,rain,0,0,33.5,14.4,310.9,1016.7,94.3,28.3,20.9,1.7,1,,2020-12-20T08:04:56,2020-12-20T16:15:59,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,CWWA,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-21,6,1.9,3.9,6,-2.1,2.5,3.3,96,29.066,100,70.83,"rain,snow",0,0,51.1,24.4,332,1007.9,91.6,18.8,2.8,0,0,,2020-12-21T08:05:26,2020-12-21T16:16:29,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"71608099999,CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-22,5.8,0.8,3,5.8,-1.3,2.1,1.8,92.3,0.024,100,12.5,rain,0,0,59,9.1,87.2,1024.8,32.5,26.8,36.7,3,2,,2020-12-22T08:05:54,2020-12-22T16:17:02,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"71608099999,71211099999,71775099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-23,5.8,0.5,2.8,5.8,-1.5,1.5,0.9,87.7,0,0,0,,0,0,63,9.6,57.6,1032.5,65.1,29.1,43.8,3.9,3,,2020-12-23T08:06:18,2020-12-23T16:17:38,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71608099999,71211099999,71775099999,D3147,71892099999,CWMM,71042099999,71201099999,F1856"
vancouver,2020-12-24,5,-0.7,2.1,5,-3.8,1.1,1.2,93.7,0.002,100,4.17,rain,0,0,74.2,11.5,72,1020.5,66,31.3,37.4,3.1,2,,2020-12-24T08:06:40,2020-12-24T16:18:16,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"71608099999,71211099999,71775099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-25,7.8,2.5,5.6,7.4,0.5,4.3,4.3,91.5,10.672,100,45.83,rain,0,0,83.2,17.7,70.9,1007.6,99.2,27.3,11.1,0.8,1,,2020-12-25T08:06:58,2020-12-25T16:18:58,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,71211099999,71775099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-26,7.9,6,7.1,7.9,3.4,5.2,5.6,90.5,10.001,100,75,rain,0,0,48.2,23.5,139.9,1010.3,90.7,24.5,6.1,0.5,0,,2020-12-26T08:07:14,2020-12-26T16:19:43,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,71211099999,71775099999,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-27,7,5.8,6.4,6.9,3.6,5.2,5.6,94.4,5.507,100,87.5,rain,0,0,53.6,15.6,86.1,1018.9,95.4,25.1,9.8,0.7,1,,2020-12-27T08:07:27,2020-12-27T16:20:30,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,71211099999,71775099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-28,6.8,4.7,5.8,6.6,2.5,4.4,4.9,94,0.542,100,25,rain,0,0,55.4,18.8,333.8,1020.6,68.8,25,20,1.6,1,,2020-12-28T08:07:36,2020-12-28T16:21:20,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"71608099999,71211099999,71775099999,E6810,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-29,5.4,3.4,4.6,5.4,0.1,3.4,3.6,93.2,9.093,100,41.67,rain,0,0,44.3,14.9,84.8,1023.6,98.5,20,9.3,0.7,0,,2020-12-29T08:07:43,2020-12-29T16:22:12,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71608099999,71211099999,CWWA,71775099999,71784099999,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-30,5.8,3.9,4.9,4.3,0.2,1.6,4.1,94.3,43.633,100,95.83,rain,0,0,38.9,20.8,87.7,1009.5,96,16.7,3.1,0.2,0,,2020-12-30T08:07:46,2020-12-30T16:23:07,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71211099999,71784099999,D3147,E9431,71892099999,71042099999,71201099999,F1856"
vancouver,2020-12-31,7,5,6.1,7,2.9,5.1,5.6,96,22.9,100,70.83,rain,0,0,63,14.3,66.4,1014.9,95.8,18.5,18.4,1.4,1,,2020-12-31T08:07:46,2020-12-31T16:24:05,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71608099999,CWWA,71211099999,71775099999,71784099999,71892099999,CWMM,71042099999,F1856"
vancouver,2021-01-01,9.2,6.8,7.8,7.4,3.6,5.5,6.8,93.2,22.136,100,79.17,rain,0,0,50,24.2,83.3,1008.3,94.4,21.9,4.3,0.3,0,,2021-01-01T08:07:44,2021-01-01T16:25:05,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02,8.5,5.6,7.6,6.3,4.3,5.3,6.7,93.7,16.528,100,70.83,rain,0,0,70.2,22.5,118.2,1003.2,98.5,25.8,4.1,0.2,0,,2021-01-02T08:07:38,2021-01-02T16:26:07,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-03,7.9,4,5.9,6.5,1.5,3.9,4.7,92.2,6.005,100,29.17,rain,0,0,55.4,15.6,90.4,1010.1,65.6,24.9,27.4,2.2,2,,2021-01-03T08:07:29,2021-01-03T16:27:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CWWA,71211099999,71775099999,71784099999,E9431,71892099999,71042099999,F1856"
vancouver,2021-01-04,7.3,3.6,6.3,6.9,2.8,5.1,5.2,92.5,19.66,100,70.83,rain,0,0,74.2,23.1,66.7,1003.8,77.6,19.5,12.4,1.1,1,,2021-01-04T08:07:17,2021-01-04T16:28:19,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-05,7,3.6,5.3,4.8,0.1,2.5,4.3,93.7,31.163,100,58.33,rain,0,0,42.5,21.6,81,1013.8,87.2,17.2,4.6,0.4,0,,2021-01-05T08:07:02,2021-01-05T16:29:28,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"CWWA,71211099999,71775099999,71784099999,E9431,71892099999,71042099999,F1856"
vancouver,2021-01-06,9.3,3.9,6.8,8,3.3,5.3,5.2,89.9,0.287,100,20.83,rain,0,0,44.3,16.4,96.5,1016,72.7,29.2,41.7,3.5,3,,2021-01-06T08:06:44,2021-01-06T16:30:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"CWWA,71211099999,71775099999,71784099999,E9431,71892099999,71042099999,F1856"
vancouver,2021-01-07,8.6,2.6,5.5,8.4,1.9,4.1,3.8,89,0,0,0,,0,0,90.7,14,66.3,1022.3,79.6,31.3,27.6,2.4,2,,2021-01-07T08:06:23,2021-01-07T16:31:53,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CWWA,71211099999,71775099999,71784099999,CWSK,CWEL,CWEZ,71892099999,CWMM,71042099999,71201099999,F1856"
